page_id,route,title,source,component_count,component_ids,shared_dependencies,evidence_status,mobile_status,screenshots
P01,/progress,Progress,src/app/(app)/progress/page.tsx,10,P01-C01; P01-C02; P01-C03; P01-C04; P01-C05; P01-C06; P01-C07; P01-C08; P01-C09; P01-C10,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,02-progress-desktop.jpg
P02,/today,Today / latest practice,src/app/(app)/today/page.tsx,9,P02-C01; P02-C02; P02-C03; P02-C04; P02-C05; P02-C06; P02-C07; P02-C08; P02-C09,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,03-today-desktop.jpg; m01-today-companion.jpg
P03,/dashboard,Dashboard,src/app/(app)/dashboard/page.tsx,7,P03-C01; P03-C02; P03-C03; P03-C04; P03-C05; P03-C06; P03-C07,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,04-dashboard-desktop.jpg
P04,/sessions,Session history,src/app/(app)/sessions/page.tsx,5,P04-C01; P04-C02; P04-C03; P04-C04; P04-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,05-sessions-desktop.jpg
P05,/sessions/[sessionId],Session review,src/app/(app)/sessions/[sessionId]/page.tsx,7,P05-C01; P05-C02; P05-C03; P05-C04; P05-C05; P05-C06; P05-C07,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,60-detail-0-desktop.jpg
P06,/shots,Shot Explorer,src/app/(app)/shots/page.tsx,5,P06-C01; P06-C02; P06-C03; P06-C04; P06-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,10-shots-desktop.jpg
P07,/shots/review,Automatic shot review,src/app/(app)/shots/review/page.tsx,3,P07-C01; P07-C02; P07-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,82-runtime-6-desktop.jpg
P08,/bag,Bag,src/app/(app)/bag/page.tsx,16,P08-C01; P08-C02; P08-C03; P08-C04; P08-C05; P08-C06; P08-C07; P08-C08; P08-C09; P08-C10; P08-C11; P08-C12; P08-C13; P08-C14; P08-C15; P08-C16,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,06-bag-desktop.jpg
P09,/bag/[clubId],Club detail,src/app/(app)/bag/[clubId]/page.tsx,6,P09-C01; P09-C02; P09-C03; P09-C04; P09-C05; P09-C06,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,62-detail-2-desktop.jpg
P10,/bag/[clubId]/analytics,Advanced club analytics,src/app/(app)/bag/[clubId]/analytics/page.tsx,9,P10-C01; P10-C02; P10-C03; P10-C04; P10-C05; P10-C06; P10-C07; P10-C08; P10-C09,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,63-detail-3-desktop.jpg
P11,/bag/longest,Longest shots,src/app/(app)/bag/longest/page.tsx,3,P11-C01; P11-C02; P11-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,59-bag-longest-desktop.jpg
P12,/quick-bag,Quick Bag,src/app/(app)/quick-bag/page.tsx,4,P12-C01; P12-C02; P12-C03; P12-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,25-quick-bag-desktop.jpg
P13,/equipment,Equipment setup,src/app/(app)/equipment/page.tsx,9,P13-C01; P13-C02; P13-C03; P13-C04; P13-C05; P13-C06; P13-C07; P13-C08; P13-C09,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,23-equipment-desktop.jpg
P14,/equipment/experiments,Equipment Experiment Lab,src/app/(app)/equipment/experiments/page.tsx,4,P14-C01; P14-C02; P14-C03; P14-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,24-equipment-experiments-desktop.jpg
P15,/practice,Practice Planner,src/app/(app)/practice/page.tsx,8,P15-C01; P15-C02; P15-C03; P15-C04; P15-C05; P15-C06; P15-C07; P15-C08,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,07-practice-desktop.jpg
P16,/practice/quick-range,Quick Range,src/app/(app)/practice/quick-range/page.tsx,3,P16-C01; P16-C02; P16-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,67-detail-7-desktop.jpg
P17,/coach,Coach,src/app/(app)/coach/page.tsx,6,P17-C01; P17-C02; P17-C03; P17-C04; P17-C05; P17-C06,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Summary capability: verify and implement full specified tasks,08-coach-desktop.jpg
P18,/coach/diagnosis,Club Improvement Centre,src/app/(app)/coach/diagnosis/page.tsx,3,P18-C01; P18-C02; P18-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,46-coach-diagnosis-desktop.jpg
P19,/coach/reports,Coach reports,src/app/(app)/coach/reports/page.tsx,3,P19-C01; P19-C02; P19-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,47-coach-reports-desktop.jpg
P20,/coach/workspace,Coach workspace,src/app/(app)/coach/workspace/page.tsx,4,P20-C01; P20-C02; P20-C03; P20-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,48-coach-workspace-desktop.jpg
P21,/data-chat,Data Chat,src/app/(app)/data-chat/page.tsx,4,P21-C01; P21-C02; P21-C03; P21-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,49-data-chat-desktop.jpg
P22,/analyse,Analysis hub,src/app/(app)/analyse/page.tsx,5,P22-C01; P22-C02; P22-C03; P22-C04; P22-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,12-analyse-desktop.jpg
P23,/analyse/compare,Compare sessions,src/app/(app)/analyse/compare/page.tsx,5,P23-C01; P23-C02; P23-C03; P23-C04; P23-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,13-analyse-compare-desktop.jpg
P24,/analyse/conditions,Conditions analysis,src/app/(app)/analyse/conditions/page.tsx,4,P24-C01; P24-C02; P24-C03; P24-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,14-analyse-conditions-desktop.jpg
P25,/analyse/session-impact,Session impact,src/app/(app)/analyse/session-impact/page.tsx,4,P25-C01; P25-C02; P25-C03; P25-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,15-analyse-session-impact-desktop.jpg
P26,/analyse/workspace,Analysis workspace,src/app/(app)/analyse/workspace/page.tsx,4,P26-C01; P26-C02; P26-C03; P26-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,16-analyse-workspace-desktop.jpg
P27,/compare,Comparison workspace,src/app/(app)/compare/page.tsx,6,P27-C01; P27-C02; P27-C03; P27-C04; P27-C05; P27-C06,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,17-compare-desktop.jpg
P28,/strokes-gained,Strokes gained,src/app/(app)/strokes-gained/page.tsx,7,P28-C01; P28-C02; P28-C03; P28-C04; P28-C05; P28-C06; P28-C07,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,18-strokes-gained-desktop.jpg
P29,/simulator-lab,Performance Lab,src/app/(app)/simulator-lab/page.tsx,9,P29-C01; P29-C02; P29-C03; P29-C04; P29-C05; P29-C06; P29-C07; P29-C08; P29-C09,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,19-simulator-lab-desktop.jpg
P30,/speed,Speed Centre,src/app/(app)/speed/page.tsx,9,P30-C01; P30-C02; P30-C03; P30-C04; P30-C05; P30-C06; P30-C07; P30-C08; P30-C09,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,09-speed-desktop.jpg
P31,/speed/sessions/[sessionId],Speed session,src/app/(app)/speed/sessions/[sessionId]/page.tsx,6,P31-C01; P31-C02; P31-C03; P31-C04; P31-C05; P31-C06,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,64-detail-4-desktop.jpg
P32,/stats/training-over-time,Training Load,src/app/(app)/stats/training-over-time/page.tsx,6,P32-C01; P32-C02; P32-C03; P32-C04; P32-C05; P32-C06,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,22-stats-training-over-time-desktop.jpg
P33,/goals,Goals and season plan,src/app/(app)/goals/page.tsx,6,P33-C01; P33-C02; P33-C03; P33-C04; P33-C05; P33-C06,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Summary capability: verify and implement full specified tasks,21-goals-desktop.jpg
P34,/handicap,Handicap estimates,src/app/(app)/handicap/page.tsx,5,P34-C01; P34-C02; P34-C03; P34-C04; P34-C05,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Summary capability: verify and implement full specified tasks,20-handicap-desktop.jpg
P35,/import,Import,src/app/(app)/import/page.tsx,10,P35-C01; P35-C02; P35-C03; P35-C04; P35-C05; P35-C06; P35-C07; P35-C08; P35-C09; P35-C10,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,26-import-desktop.jpg
P36,/import/result,Import result,src/app/(app)/import/result/page.tsx,4,P36-C01; P36-C02; P36-C03; P36-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,77-runtime-1-desktop.jpg
P37,/rapsodo,Rapsodo cloud sync,src/app/(app)/rapsodo/page.tsx,4,P37-C01; P37-C02; P37-C03; P37-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Companion/summary branch source reviewed; narrow viewport visual QA outstanding,45-rapsodo-desktop.jpg
P38,/providers,Launch-monitor providers,src/app/(app)/providers/page.tsx,4,P38-C01; P38-C02; P38-C03; P38-C04,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Live state captured + source reviewed,Explicit desktop-only capability: mobile task must be implemented,27-providers-desktop.jpg
P39,/companion-runtime/import,Companion import entry,src/app/(app)/companion-runtime/import/page.tsx,2,P39-C01; P39-C02,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Runtime DOM/source reviewed; captured wide state is hidden or guarded,Dedicated companion route; wide content hidden in captured runtime views,78-runtime-2-desktop.jpg
P40,/companion-runtime/import/csv,Companion CSV import,src/app/(app)/companion-runtime/import/csv/page.tsx,3,P40-C01; P40-C02; P40-C03,G01; G02; G03; G04; G05; G06; G07; G08; G09; G10; G11; G12; G13; G14,Runtime DOM/source reviewed; captured wide state is hidden or guarded,Dedicated companion route; wide content hidden in captured runtime views,79-runtime-3-desktop.jpg
